"Txhash","UnixTimestamp","DateTime","From","To","Value","ContractAddress","TokenName","TokenSymbol"
"0xcc4c8932b55d81ec90119dc4e02d2fcede2e6994d26c02714b7362c4746b92b2","1631270488","2021-09-10 10:41:28","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5","149,605.43714008","0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5","Compound Ether","cETH",""
"0x2e45c2ad53d28b8d9aab6028ec2142aecdd049214dbea6f64b59bb13fe583e2b","1631270536","2021-09-10 10:42:16","0xd8b712d29381748db89c36bca0138d7c75866ddf","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","4,614,361.719981855945873189","0x090185f2135308bad17527004364ebcc2d37e5f6","Spell Token","SPELL",""
"0x747f2def3487d888c88513d5244fcf8eb6b34a2183edeb8c950967cbe6ecb26f","1631270558","2021-09-10 10:42:38","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","2,552.019261261577640976","0xd533a949740bb3306d119cc777fa900ba034cd52","Curve DAO Token","CRV",""
"0x78523af1e9bdde760b5b250a1d23120d449d11a160069318e83d797b5f5ca119","1631270621","2021-09-10 10:43:41","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xb5de0c3753b6e1b4dba616db82767f17513e6d4e","4,614,361.719981855945873189","0x090185f2135308bad17527004364ebcc2d37e5f6","Spell Token","SPELL",""
"0x94ec5ac83e4e11fdfc7fbfa0715f6b1a9e58e46019a1ea68141780ee6baf8506","1631270700","2021-09-10 10:45:00","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x58dc5a51fe44589beb22e8ce67720b5bc5378009","2,552.019261261577640976","0xd533a949740bb3306d119cc777fa900ba034cd52","Curve DAO Token","CRV",""
"0x0211503397a72abae04776cb1e93fde666eb91e0700c682ebedfc101c0dea590","1631271124","2021-09-10 10:52:04","0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","500,000","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC",""
"0xbd08cf5a8422e6189eccc10a5a8fe0810bf167c435439c520e3b731ccd33c906","1631271194","2021-09-10 10:53:14","0x2a67035357c3045438f3a92e46870a9e48e5aab7","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","543,844.310455","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC",""
"0xcadd0926448aadd4291b74b2b816e8f09522a9c867dc24f14b9bb9b84f30d387","1631271378","2021-09-10 10:56:18","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x39aa39c021dfbae8fac545936693ac917d5e7563","1,043,844.310455","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC",""
"0xe5af66c3a5e6ae7ca03479491388d818c40402f1a3b9c1e802ef88a0a38e2812","1631271378","2021-09-10 10:56:18","0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","46.408069953239540271","0xc00e94cb662c3520282e6f5717214004a7f26888","Compound","COMP",""
"0x2b811fdf56ab318fefd8e57babe5bf68d0cca76f042f89fe7d85b94dfecc5840","1631271484","2021-09-10 10:58:04","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x22f9dcf4647084d6c31b2765f6910cd85c178c18","46.408069953239540271","0xc00e94cb662c3520282e6f5717214004a7f26888","Compound","COMP",""
"0x8eb43b95dacd0014160913e17c4de67c51206f0677b99d2d959f0e4d22c5f3c4","1631279147","2021-09-10 13:05:47","0xd8b712d29381748db89c36bca0138d7c75866ddf","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","8,265,677.475931556040943389","0x5a6a4d54456819380173272a5e8e9b9904bdf41b","Curve.fi Factory USD Metapool: Magic Internet Money 3Pool","MIM-3LP3CRV-f",""
"0x8eb43b95dacd0014160913e17c4de67c51206f0677b99d2d959f0e4d22c5f3c4","1631279147","2021-09-10 13:05:47","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x0000000000000000000000000000000000000000","8,265,677.475931556040943389","0xd8b712d29381748db89c36bca0138d7c75866ddf","Curve.fi MIM-3LP3CRV-f Gauge Deposit","MIM-3LP3CRV-f-gauge",""
"0x5ac33a2e0f2877484b053b7f17c9819b542bfb87906da936a70abb89978e8b91","1631279214","2021-09-10 13:06:54","0x0000000000000000000000000000000000000000","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","112.821348488782141402","0xd533a949740bb3306d119cc777fa900ba034cd52","Curve DAO Token","CRV",""
"0xcd5df7ad7d9f529c777db700078225e983a54002d3cf3b0a815863cd4815092e","1631279331","2021-09-10 13:08:51","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xa79828df1850e8a3a3064576f380d90aecdd3359","8,265,677.475931556040943389","0x5a6a4d54456819380173272a5e8e9b9904bdf41b","Curve.fi Factory USD Metapool: Magic Internet Money 3Pool","MIM-3LP3CRV-f",""
"0xcd5df7ad7d9f529c777db700078225e983a54002d3cf3b0a815863cd4815092e","1631279331","2021-09-10 13:08:51","0x5a6a4d54456819380173272a5e8e9b9904bdf41b","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","8,278,513.432248075455026987","0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3","Magic Internet Money","MIM",""
"0x216e8179b6cecd122134821a349c0faedc366a3b52fbe6583f8584ebde566335","1631279593","2021-09-10 13:13:13","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xf5bce5077908a1b7370b9ae04adc565ebd643966","6,513,889.745365292110958102","0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3","Magic Internet Money","MIM",""
"0x216e8179b6cecd122134821a349c0faedc366a3b52fbe6583f8584ebde566335","1631279593","2021-09-10 13:13:13","0xf5bce5077908a1b7370b9ae04adc565ebd643966","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","6,815,677.158785","0x5f18c75abdae578b483e5f43f12a39cf75b973a9","USDC yVault","yvUSDC",""
"0xb07a5028fa3a23b637f6c7c1a27a5706c3717ad3124e2fe0d18ca380d277c714","1631279722","2021-09-10 13:15:22","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x0000000000000000000000000000000000000000","6,815,677.158785","0x5f18c75abdae578b483e5f43f12a39cf75b973a9","USDC yVault","yvUSDC",""
"0xb07a5028fa3a23b637f6c7c1a27a5706c3717ad3124e2fe0d18ca380d277c714","1631279722","2021-09-10 13:15:22","0x5f18c75abdae578b483e5f43f12a39cf75b973a9","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","7,321,461.893574","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC",""
"0x24fcd29e90f678985b5f2d624e5ea58803f4872db3365fdbe6f766ecd97bf60d","1631279757","2021-09-10 13:15:57","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0x39aa39c021dfbae8fac545936693ac917d5e7563","7,321,461.893574","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC",""
"0x385b3584d38a57386d49d6fc5bd7b9455ae8fbc692433d3a41cd324ecfd2d7c6","1631279961","2021-09-10 13:19:21","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","0xf5bce5077908a1b7370b9ae04adc565ebd643966","1,764,623.696593","0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3","Magic Internet Money","MIM",""
"0x385b3584d38a57386d49d6fc5bd7b9455ae8fbc692433d3a41cd324ecfd2d7c6","1631279961","2021-09-10 13:19:21","0xf5bce5077908a1b7370b9ae04adc565ebd643966","0x99fd1378ca799ed6772fe7bcdc9b30b389518962","1,956,676.396549","0x7da96a3891add058ada2e826306d812c638d87a7","USDT yVault","yvUSDT",""
